cate,title
Sports,USWNT's Alex Morgan says sexual harassment a leaguewide problem in NWSL
Health,"Rural Americans are dying from COVID-19 at twice the rate of urban Americans, Springfield hospitals explain why"
U.S.,"Afghan ambassador to the US slams Biden, doesn't trust US"
Technology,Far Cry 6 could be teasing a brand new Far Cry game
Entertainment,Sarah Silverman Calls Out 'Jewface' In Hollywood's Casting Of Women's Roles
World,Australia won't welcome international tourists until 2022
Business,AstraZeneca seeks U.S. authorisation of drug to prevent COVID-19
Sports,Nick Sirianni's take on what's wrong with Fletcher Cox
Health,"Study: For unvaccinated, reinfection by SARS-CoV-2 is likely"
U.S.,Big changes are coming to the 'broken' Public Service Loan Forgiveness program
Technology,YouTube Music is finally getting a feature that Google Play Music had for years
Entertainment,Dave Chappelle Says DaBaby Offending LGBT was Worse Than Killing Someone
World,"John Barilaro resigns as NSW Deputy Premier, triggers by-election in seat of Monaro"
Business,Amazon to start 'Black Friday-worthy' deals today
Sports,"Source - Chicago Bears RB David Montgomery has sprained knee, expected to miss 4-5 weeks"
Health,"High blood pressure in young adults is linked to smaller brain sizes and dementia, a study finds"
U.S.,VIDEO: Anti-vax protesters destroy COVID-19 testing site in Manhattan
Technology,"Deals: New Sales Hit Every AirPods Model, Starting at $109 for Regular AirPods"
Entertainment,Antoine Fuqua on ‘The Guilty’ and Reuniting with Jake Gyllenhaal: “We Were Both Trapped”
World,"At Dubai's Expo, the world's problematic politics loom"
Business,"What Does a Global Transition to Clean Power Mean? Energy Crises, Gas Shortages"
Sports,"Stock Up/Stock Down: C.J. Stroud Silences Doubters, Luke Fickell Gets Signature Win, Wisconsin Drops to 1-3 |"
Health,"COVID-19 cases in Idaho children have 'skyrocketed.' That could affect hospitals, care"
U.S.,Louisiana offering travel trailers and other housing to those left without a home after Hurricane Ida
Technology,Acer's Aspire Vero is a Windows 11 laptop made from recycled plastics
Entertainment,Dave Grohl Hinted That Nirvana Might “Alter” The Cover Of “Nevermind” After The Band Was Sued For Alleged “Child Pornography”
World,"Climate Change Is Devastating Coral Reefs Worldwide, Major Report Says"
Business,The End of a ‘Gilded Age’: China Is Bringing Business to Heel
Sports,John Harbaugh not sorry; Urban Meyer can't apologize enough
Health,Covid-19 cases are declining but remain high among children. Here's what the US needs to do to end the surge
U.S.,"Gunman kills person inside Thomas Jefferson University Hospital, shoots 2 Philadelphia officers before arrest: Police"
Technology,"Score an Echo Dot and smart bulb for $25, an Echo Show 8 for $70 and more on Amazon today"
Entertainment,'Many Saints of Newark' cast on returning to iconic 'Sopranos' universe: 'One of the hardest jobs'
World,Are the Conservatives keeping their election promises?
Business,William Shatner's Blue Origin launch on New Shepard: Live updates
Sports,John Ross wants to be more than a “one-trick pony” for the New York Giants
Health,Santa Cruz County sees its first COVID deaths in vaccinated adults
U.S.,"10-Year-Old Died of COVID After Teacher Made Her Be 'Nurse' to Sick Kids, Parents Say"
Technology,Super Monkey Ball Banana Mania - Launch Trailer - Nintendo Switch
Entertainment,"Alan Kalter, longtime voice of the 'Late Show with David Letterman,' dies at 78"
World,Smoke incident at London's Westminster station under control
Business,"Southwest will implement federal vaccine mandate, airline confirms, despite pilot objections"
Sports,"Steve Kerr Talks Jordan Poole's Big Night & Team Chemistry After Preseason Win | Oct. 4, 2021"
Health,Four more Arizonans die from West Nile; hospitals see ‘fairly significant’ amount of patients
U.S.,"Largest New York health care provider fires 1,400 employees over vaccine refusal | TheHill"
Technology,Sony’s wearable speaker puts Dolby Atmos audio right up to your ears
Entertainment,Shannen Doherty wins $6.3M in State Farm suit after home damaged in California wildfire
World,"EU leaders to restate membership guarantee for Balkans at summit, officials say"
Business,"Facebook, Instagram, and WhatsApp restored after hours-long outage | WION English News"
Sports,Brian Flores won’t make “wholesale changes” on offense
Health,California deploys national guard to hospitals overwhelmed by Covid
U.S.,"Biggest tax haven in U.S.? South Dakota, says Pandora Papers investigation"
Technology,Microsoft shows off Office 2021 for consumers ahead of the coming of Windows 11
Entertainment,Lady Gaga Recalls Moment Tony Bennett Remembered Her Name Amid Alzheimer’s Battle: “My Friend Saw Me”
World,Ron Arad: Mossad agents mount mission for missing airman
Business,Billionaire Ken Griffin hints of moving Citadel’s headquarters out of Chicago
Sports,It's time for LSU to think about life after Ed Orgeron. And the Tigers' AD has reputation for chasing stars
Health,Johnson & Johnson Data on RSV Vaccines Raises Bar in Industrywide Race
U.S.,Trump Unveils New Super PAC And Twitter Users Can't Stop Howling At The Name
Technology,First Google Pixel 6 Pro camera and video samples leak
Entertainment,‘Succession’ Season 3 Is a F**king Killer
World,"2,700-year-old toilet found in Jerusalem was a rare luxury"
Business,Late-night lampoons Facebook after colossal outage
Sports,New York Jets Flight Connections 10/5/21
Health,Ending the mask mandate: Here’s what has to happen in Clark County
U.S.,Florida drama teacher accused of having sex with 14-year-old student in her car
Technology,What took Facebook down
Entertainment,Rob Kardashian is all smiles in rare photo from night with his sisters
World,London Police Announce Independent Review Amid Trust Crisis
Business,"FDA authorizes COVID-19 home test from ACON Laboratories, potentially doubling the nation's supply"
Sports,"The Daily Chop: NLDS Game times, Max Fried is Pitcher of the Month and more"
Health,"Montana COVID-19 update: 1,456 new cases (Oct. 4)"
U.S.,U.S. extends an ‘olive branch’ to China on trade
Technology,Samsung brings Material You color themes with One UI 4.0 beta 2
Entertainment,Dave Chappelle Says He's a TERF and Is Quitting LGBTQ Jokes
World,New Zealand's Jacinda Ardern admits nation can't get rid of coronavirus | TheHill
Business,"Top Democrat Says Postal Banking Pilot Is 'Welcome,' But DeJoy Must Still Be Fired"
Sports,"NFL Week 5 Power Rankings: Bills serve notice with dominant defense, unbeaten Cardinals rise to No. 1"
Health,Is It Flu or Covid-19? It’s Harder to Tell the Symptoms Apart This Year
U.S.,Missouri inmate scheduled to be executed despite request from pope
Technology,"Golden 1 Center celebrates its 5-year anniversary, impact to downtown Sacramento"
Entertainment,"YoungBoy Never Broke Again Earns Fourth No. 1 Album on Billboard 200 With 'Sincerely, Kentrell'"
World,"Philippine president announces retirement, says daughter will run | TheHill"
Business,"After a week of scandal, the CEO of Ozy Media says he now hopes to stay in business"
Sports,4 takeaways as Jaylen Brown returns in Celtics’ preseason opener vs. Magic
Health,"You Would Never Think This Habit Could Make You Gain Weight, But An RD Says Yes"
U.S.,White House mum on whether Hunter Biden holding stake in Chinese private equity firm
Technology,Apple Agrees to Pay $95 Million to Settle Lawsuit Claiming Refurbished Devices Aren't 'Equivalent to New'
Entertainment,"HBO Max Unveils New Territories, Pricing and 45-Day Theatrical-to-Streaming Window in Europe"
World,"Victims' families say submarine ""responsible"" for sinking boat as inquest seeks to solve 2004 mystery"
Business,Global stocks steady after Wall Street drop unsettles Asia
Sports,49ers News: Kyle Shanahan’s admission about Jimmy Garoppolo’s injury status
Health,Vermont reports 5 more Covid-19 deaths but case average is declining
U.S.,"Tennessee man charged with kidnapping, raping woman who mistook him for ride-share driver"
Technology,Ex-PlayStation boss doesn’t think Sony will ever do day one PC releases
Entertainment,Finalists Announced for This Year’s National Book Awards
World,"Global player? EU summit to seek answers on China, U.S. strategy"
Business,Gulfstream Unveils New G800 and G400 Jets – AIN
Sports,Marcus Maye facing multiple charges and a civil lawsuit stemming from a DUI arrest in February
Health,COVID-19 hospitalizations still elevated across Maine - Portland Press Herald
U.S.,State AG seeks meeting with TikTok CEO over 'Slap a Teacher' challenge | TheHill
Technology,Ophthalmologist using iPhone 13 macro feature responds to criticism
Entertainment,"Marc Pilcher, Emmy-Winning ‘Bridgerton’ Hairstylist, Dies From COVID-19 Aged 53"
World,Drivers clash with Insulate Britain protesters
Business,Facebook asks judge to dismiss FTC antitrust charges... again
Sports,PSG's Kylian Mbappe confirms Neymar dispute: I called him a 'tramp'
Health,"The Best Way to Get a Lean Body After 50, Says Science | Eat This Not That"
U.S.,Justice Clarence Thomas asks the first question and other highlights from opening day at the Supreme Court
Technology,Has Facebook Been Hacked? BGP Records Vanish As Employees Plunged In Logistical Nightmare
Entertainment,Brian Austin Green's Tango – Dancing with the Stars
World,"The Taliban takeover of Afghanistan could reshape counterinsurgencies in Africa, experts say"
Business,CDC Releases Guidelines For COVID-19 Surrounding Holiday Season
Sports,Urban Meyer: The reality is the AFC South is within striking distance
Health,Monday Oct. 4 COVID-19 update: Douglas County reports unvaccinated death
Health,North Carolina 6-year-old dies from COVID-19 complications
U.S.,Texas pardons board votes unanimously to recommend posthumous pardon for George Floyd
Technology,Nickelodeon All-Stars Brawl: SpongeBob Arcade Mode Gameplay
Entertainment,‘Hilarious and very honest’: Katie Couric casts off her perky persona in her new memoir
World,"Deadly, historic Tropical Cyclone Shaheen departs Oman"
Business,The 'Pandora Papers' shows where the rich and famous hide their money
Sports,Rich Eisen: Kyler Murray and the Cardinals are a Problem for the Rest of the NFL | Rich Eisen Show
Health,Overload of Inflammatory Molecules “Trapped” in Micro Blood Clots May Cause Long COVID Symptoms
U.S.,Fauci walks back comments about canceling Christmas after backlash
Technology,Teardown Suggests The Switch OLED Dock Is 4K 60fps-Ready And 'Future Proof'
Entertainment,"Actor pleads guilty in $650 million Ponzi scheme that lied about Netflix, HBO deals"
World,"Emotional Merkel, marking German reunification, calls for tolerance"
Business,National Taco Day freebies that are sure to satisfy
Sports,Studs and duds from Packers' 27-17 win over Steelers in Week 4
Health,Intestinal drug shown to boost memory and cognition
U.S.,"Electrician charged with murdering 3 co-workers in 'cold-blooded' plot, Florida officials say"
Technology,"Older Metroid amiibo Work With Metroid Dread, And They've Been Restocked At My Nintendo Store"
Entertainment,Paris Jackson's 'Rock Royalty' top is a Met Gala throwback
World,"New Hampshire family sues Iran, seeks justice for late father’s monthslong imprisonment in Lebanon"
Business,Dr. Scott Gottlieb: Merck could seek emergency FDA nod for Covid pill this week
Sports,"NFL Week 4 grades: Cowboys get an 'A-' for beating unbeaten Panthers, Raiders get a 'D' for ugly Monday loss"
Health,Chemists reveal a couple small tweaks to make pizza taste much better
U.S.,COVID kills three more in north country
Technology,"Losing Facebook is bad, but losing WhatsApp is worse"
Entertainment,"The Rolling Stones rock Pittsburgh with plenty of hits, energy"
World,"Judges release ex-Nazi camp secretary, 96, who skipped court"
Business,"Stocks making the biggest moves in the premarket: Lordstown Motors, Ocugen, PepsiCo and more"
Sports,Report: David Montgomery is expected to miss 4-5 weeks with knee sprain
Health,UV light disinfection may be ‘game changer’ to slow COVID-19 spread
U.S.,"Todd Akin, the former Missouri congressman whose 'legitimate rape' comment derailed his U.S. Senate candidacy, dies at 74"
Technology,Safari 15 Users Say New Tab Design is Counterintuitive
Entertainment,'Dancing with the Stars' judge Derek Hough sits out this week after possible coronavirus exposure
World,Soldiers are delivering fuel in Britain as 'challenging' shortages persist
Business,IBM CEO discusses Red Hat growth and its role in the company's hybrid cloud strategy
Sports,Spurs dominate first preseason game | Highlights and reaction
Health,"As childhood COVID infections hit pandemic highs, experts urge vaccination and testing"
U.S.,James Weighs a Run As Governor as Hochul Locks Key Endorsement
Technology,Far Cry 2 Villain Confirmed to Be Far Cry 1’s Hero Jack Carver
Entertainment,Jerry Seinfeld Apologizes For The 'Uncomfortable Sexual Aspect' Of Bee Movie
World,French child kidnap plot shows global sway of QAnon style
Business,Sainsbury’s shares rise on market speculation after private equity swoops in for rival Morrisons
Sports,Cole Beasley rips Bills fans for booing him over COVID vaccine stance
Health,Pandemic Updates: SF Cases Continue to Drop; Monica Gandhi Explains Transition to 'Endemic' COVID
U.S.,Low-income Missouri residents finally gain Medicaid coverage
Technology,Diablo 2: Resurrected Review (PS5)
Entertainment,Venom: Let There Be Carnage Ending & Post-Credits Scene Explained (Nerdist News w/ Dan Casey)
World,Ethiopian parliament confirms Abiy Ahmed as prime minister
Business,"Even with low interest rates, mortgage payments are increasingly unaffordable"
Sports,"Press conference takeaways: Arthur Smith talks Calvin Ridley, urgency and injuries"
Health,New Study Reveals Antibodies from Fighting COVID-19 Infection Can Last More Than One Year
U.S.,"Physics Nobel rewards work on complex systems, like climate"
Technology,Save up to 30% off board games for the whole family
Entertainment,"Gable Steveson, Olympic Gold Medalist, Selected by Raw in 2021 WWE Draft"
World,'Hollow apologies will no longer be accepted': Calls for government action after Trudeau's absence on National Day for Truth and Reconciliation
Business,"Geely's Volvo Cars to list in Stockholm, aims to raise 25 billion Swedish krona"
Sports,Bruins @ Flyers 10/4/21 | NHL Highlights
Health,They left their children to fight a pandemic with no end. Would they do it again?
U.S.,Texas Supreme Court refuses to resume a Planned Parenthood lawsuit challenging new state abortion law
Technology,Battlefield 2042 beta release time and pre-load details confirmed
Entertainment,"Where the magic began: Walt Disney used code names, shell corporations to buy land for Disney World"
World,"Hold off on that beach trip: CDC says to 'avoid travel' to Barbados, Croatia due to COVID-19 cases"
Business,"Hummer EV First Drive: 1,000 HP Of Unbridled Power And Crab-Walking Fun"
Sports,"Knowing JT Daniels 'has to rest, recover,' Georgia's Kirby Smart holds QB out of throwing drills"
Health,"20 Best Foods for People with Type 2 Diabetes, According to Doctors and Nutritionists"
Health,"Connecticut mosquitoes test positive for potentially deadly EEE virus, officials say"
U.S.,"Ken Griffin, Top GOP Donor, Rules Out Backing a Trump Rerun"
Technology,Lenovo ‘Legion Play’ leak shows off an Android-powered ‘cloud gaming console’
Entertainment,Netflix and Howard University establish $5.4 million scholarship in Chadwick Boseman's name
World,Arabs are 21% of population but 50% of serious COVID patients
Business,Jim Cramer: JPMorgan CEO Dimon spot on for the need of better crypto regulation
Sports,"HAWKS at HEAT | NBA PRESEASON FULL GAME HIGHLIGHTS | October 4, 2021"
Health,Ashish Jha is calling for a vaccine mandate for air travel. Here’s why.
U.S.,St Petersburg woman seriously injured in Alligator attack
Technology,Ex-Sony exec opens up about efforts to bring PlayStation hits to PC
Technology,YouTube gives you one less reason to ever stop watching with mobile-to-desktop sync
Entertainment,"For China’s Holidays, a Big-Budget Blockbuster Relives an American Defeat"
Entertainment,"NKOTB to headline 2022 'MixTape' tour with Salt-N-Pepa, Rick Astley and En Vogue"
World,China Purchased Mass Quantity of PCR Tests Months Before First Reported Case of COVID
Business,Abu Dhabi-controlled GlobalFoundries files for U.S. IPO amid worldwide chip shortage
Business,The Pandora Papers: What you need to know about the biggest-ever probe into offshore accounts
Sports,Ole Miss coach Lane Kiffin says pregame 'popcorn' comment was 'really stupid'
Health,"Israelis discover ‘traitor’ immune cells that first fight, then aid brain cancer"
Health,Woman nearly had part of butt removed after getting a wedgie
U.S.,24 arrests announced in luxury jewelry robbery investigation; Cases include NOLA officer killed at Grotto and League City homicide
Technology,Now Alan Wake Remastered has a Control Easter egg
Technology,Why The Xbox Series X Is Still Hard To Find | GameSpot News
Entertainment,"No Time To Die Beats Expectations, Makes More Than $100 Million At International Box Office"
World,Russia state media omits Putin and circle in Pandora coverage
World,"Czech police promise to 'act upon' Pandora Papers, as revelations about prime minister become campaign topic"
Business,Ford's sales improving but still down by 27.4% in the third quarter
Business,Market Movers: Stocks and the US economy outlook for the rest of 2021
Sports,"Jim Harbaugh Didn't Deliver A Halftime Speech, Because He Didn't Have To"
Health,How did cement end up in a man's heart?
Health,An experimental vaccine against rheumatoid arthritis
U.S.,"Terrorists behind Afghanistan mosque blast caught, ISIS-K cell wiped out: Taliban"
U.S.,Video shows skateboarder tossing paint on NYC George Floyd statue
Technology,"Shop Apple headphone deals on Amazon: AirPods, Beats and more"
Technology,New Final Fantasy Origin Trailer 100% Chaos-Free After Last One Got Memed
Entertainment,Live Nation requires proof of vaccine or negative test at these California venues
Entertainment,A Lord Of The Rings Orc was styled on Harvey Weinstein's image
World,England Eases International Covid Travel Restrictions
World,Three Swiss guards who refused Vatican vaccine mandate return home | TheHill
Business,Chinese Developer Fantasia Misses Bond and Loan Payments
Business,"Qualcomm, SSW Partners to acquire Veoneer for $37 per share"
Sports,"Luis Rojas responds to Mets moving on from him, will he stay with Mets? | Mets Breaking News | SNY"
Health,Dietitians Susie Burrell and Leanne Ward: This is EXACTLY how to speed up your metabolism
Health,The Verdict on the Best Weight Loss Foods To Eat for Breakfast | Eat This Not That
U.S.,Fatal multi-vehicle crash on N. Great Neck Road in Virginia Beach; road closed
U.S.,Man survives shark attack after other surfers rush to his aid in Northern California
Technology,"Genshin Impact 2.2 update release date, Thoma announced"
Technology,Amazon's stock drops toward longest losing streak in more than two years
Entertainment,Emily Ratajkowski Claims Robin Thicke Groped Her on 'Blurred Lines' Music Video Set
